taibnet_code,kingdom,phylum,phylum_tw,class,class_tw,order,order_tw,family,family_tw,sciname,spname_tw
409531,Animalia,Arthropoda,節肢動物門,Ostracoda,介形蟲綱,Podocopida,速足介目,Trachyleheridae,粗面介科,Abrocythereis guangdongensis ,廣東艷花介 
409532,Animalia,Arthropoda,節肢動物門,Ostracoda,介形蟲綱,Podocopida,速足介目,Trachyleheridae,粗面介科,Abrocythereis jyhemouia ,智謀艷花介 
409534,Animalia,Arthropoda,節肢動物門,Ostracoda,介形蟲綱,Podocopida,速足介目,Trachyleheridae,粗面介科,Abrocythereis punctata ,斑點艷花介 
409533,Animalia,Arthropoda,節肢動物門,Ostracoda,介形蟲綱,Podocopida,速足介目,Trachyleheridae,粗面介科,Abrocythereis tungyei ,統一艷花介 
404134,Fungi,Zygomycota,接合菌門,Zygomycetes,接合菌綱,Mucorales,毛黴目,Mucoraceae,毛黴科,Absidia spinosa ,刺柄犁頭黴 
382306,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Pomacentridae,雀鯛科,Abudefduf bengalensis ,孟加拉豆娘魚.. 
382307,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Pomacentridae,雀鯛科,Abudefduf lorenzi ,勞倫氏豆娘魚.. 
382308,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Pomacentridae,雀鯛科,Abudefduf notatus ,黃尾豆娘魚.. 
382309,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Pomacentridae,雀鯛科,Abudefduf septemfasciatus ,七帶豆娘魚.. 
382310,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Pomacentridae,雀鯛科,Abudefduf sexfasciatus ,六線豆娘魚.. 
382311,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Pomacentridae,雀鯛科,Abudefduf sordidus ,梭地豆娘魚.. 
382312,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Pomacentridae,雀鯛科,Abudefduf vaigiensis ,條紋豆娘魚.. 
403049,Animalia,Cnidaria,刺胞動物門,Hydrozoa,水螅蟲綱,Siphonophora,管水母目,Abylidae,多面水母科,Abyla carina ,擬突多面水母 
313134,Animalia,Cnidaria,刺胞動物門,Hydrozoa,水螅蟲綱,Siphonophora,管水母目,Abylidae,多面水母科,Abyla haeckeli ,橫棱多面水母 
313135,Animalia,Cnidaria,刺胞動物門,Hydrozoa,水螅蟲綱,Siphonophora,管水母目,Abylidae,多面水母科,Abyla ingeborgae ,狹腹多面水母 
313136,Animalia,Cnidaria,刺胞動物門,Hydrozoa,水螅蟲綱,Siphonophora,管水母目,Abylidae,多面水母科,Abyla schmidti ,頂大多面水母 
403051,Animalia,Cnidaria,刺胞動物門,Hydrozoa,水螅蟲綱,Siphonophora,管水母目,Abylidae,多面水母科,Abyla trigona ,三角多面水母 
313137,Animalia,Cnidaria,刺胞動物門,Hydrozoa,水螅蟲綱,Siphonophora,管水母目,Abylidae,多面水母科,Abylopsis eschscholtzi ,小方擬多面水母 
313138,Animalia,Cnidaria,刺胞動物門,Hydrozoa,水螅蟲綱,Siphonophora,管水母目,Abylidae,多面水母科,Abylopsis tetragona ,方擬多面水母 
382234,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Percophidae,鱸鰧科,Acanthaphritis barbata ,鬚棘吻魚.. 
383630,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Percophidae,鱸鰧科,Acanthaphritis unoorum ,昂氏棘吻魚.. 
313227,Animalia,Echinodermata,棘皮動物門,Asteroidea,海星綱,Valvatida,有瓣目,Acanthasteridae,長棘海星科,Acanthaster planci ,棘冠海星 
313055,Animalia,Cnidaria,刺胞動物門,Hexacorallia,六放珊瑚綱,Scleractinia,石珊瑚目,Lobophylliidae,瓣葉珊瑚科,Acanthastrea echinata ,大棘星珊瑚 
313056,Animalia,Cnidaria,刺胞動物門,Hexacorallia,六放珊瑚綱,Scleractinia,石珊瑚目,Lobophylliidae,瓣葉珊瑚科,Acanthastrea hemprichii ,聯合棘星珊瑚 
313057,Animalia,Cnidaria,刺胞動物門,Hexacorallia,六放珊瑚綱,Scleractinia,石珊瑚目,Lobophylliidae,瓣葉珊瑚科,Acanthastrea hillae ,丘形棘星珊瑚 
310830,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Axiidae,阿姑蝦科,Acanthaxius formosa ,臺灣棘阿蛄蝦 
310831,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Axiidae,阿姑蝦科,Acanthaxius grandis ,巨棘阿蛄蝦 
404483,Animalia,Porifera,海綿動物門,Demospongiae,尋常海綿綱,Halichondrida,軟海綿目,Dictyonellidae,"",Acanthella cavernosa , 
311331,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Oplophoridae,刺蝦科,Acanthephyra armata , 
311332,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Oplophoridae,刺蝦科,Acanthephyra cucullata , 
311333,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Oplophoridae,刺蝦科,Acanthephyra examia ,異常棘蝦 
311334,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Oplophoridae,刺蝦科,Acanthephyra quadrispinosa ,四刺棘蝦 
381563,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Cepolidae,赤刀魚科,Acanthocepola indica ,印度棘赤刀魚.. 
381564,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Cepolidae,赤刀魚科,Acanthocepola krusensternii ,克氏棘赤刀魚.. 
381565,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Cepolidae,赤刀魚科,Acanthocepola limbata ,背點棘赤刀魚.. 
316768,Animalia,Mollusca,軟體動物門,Polyplacophora,多板綱,Neoloricata,新石鱉目,Acanthochitonidae,毛膚石鱉科,Acanthochitona achates ,毛石鱉 
316772,Animalia,Mollusca,軟體動物門,Polyplacophora,多板綱,Neoloricata,新石鱉目,Acanthochitonidae,毛膚石鱉科,Acanthochitona rubrolineatus , 
316769,Animalia,Mollusca,軟體動物門,Polyplacophora,多板綱,Neoloricata,新石鱉目,Acanthochitonidae,毛膚石鱉科,Acanthochitona zeylandicus ,棘毛石鱉 
382484,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Scombridae,鯖科,Acanthocybium solandri ,棘鰆.. 
408757,Animalia,Arthropoda,節肢動物門,Ostracoda,介形蟲綱,Podocopida,速足介目,Trachyleheridae,粗面介科,Acanthocythereis echinata ,多毛荊棘介 
408755,Animalia,Arthropoda,節肢動物門,Ostracoda,介形蟲綱,Podocopida,速足介目,Trachyleheridae,粗面介科,Acanthocythereis lobulia ,小葉荊棘介 
408754,Animalia,Arthropoda,節肢動物門,Ostracoda,介形蟲綱,Podocopida,速足介目,Trachyleheridae,粗面介科,Acanthocythereis mutsuensis ,陸奧荊棘介 
408756,Animalia,Arthropoda,節肢動物門,Ostracoda,介形蟲綱,Podocopida,速足介目,Trachyleheridae,粗面介科,Acanthocythereis spinosa ,有刺荊棘介 
124406,Protozoa,Sarcomastigophora,肉質鞭毛蟲門,Heliozoa,真正太陽蟲綱,Polycystina,多囊蟲目,Acanthodesmiidae,"",Acanthodesmia vinculata , 
432740,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Dynomenidae,貝綿蟹科,Acanthodromia margarita , 
381695,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Gobiidae,鰕虎科,Acanthogobius ommaturus ,斑尾刺鰕虎.. 
312847,Animalia,Cnidaria,刺胞動物門,Octocorallia,八放珊瑚綱,Alcyonacea,軟珊瑚目,Acanthigorgiidae,棘柳珊瑚科,Acanthogorgia vegae ,星棘柳珊瑚 
383235,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Ophidiiformes,鼬魚目,Ophidiidae,鼬鳚科,Acanthonus armatus ,大棘鼬魚.. 
311233,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Epialtidae,"",Acanthonyx formosa ,臺灣刺角蟹 
395484,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Sparidae,鯛科,Acanthopagrus chinshira ,琉球棘鯛.. 
382634,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Sparidae,鯛科,Acanthopagrus latus ,黃鰭棘鯛.. 
395485,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Sparidae,鯛科,Acanthopagrus pacificus ,太平洋棘鯛 
382635,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Sparidae,鯛科,Acanthopagrus schlegelii ,黑棘鯛.. 
382636,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Sparidae,鯛科,Acanthopagrus sivicolus ,橘鰭棘鯛.. 
395344,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Sparidae,鯛科,Acanthopagrus taiwanensis ,臺灣棘鯛.. 
382263,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Plesiopidae,七夕魚科,Acanthoplesiops hiatti ,海氏若棘鮗.. 
382264,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Plesiopidae,七夕魚科,Acanthoplesiops psilogaster ,滑腹若棘鮗.. 
316773,Animalia,Mollusca,軟體動物門,Polyplacophora,多板綱,Neoloricata,新石鱉目,Chitonidae,石鱉科,Acanthopleura gemmata ,鬼石鱉 
316774,Animalia,Mollusca,軟體動物門,Polyplacophora,多板綱,Neoloricata,新石鱉目,Chitonidae,石鱉科,Acanthopleura loochooana ,琉球石鱉 
316775,Animalia,Mollusca,軟體動物門,Polyplacophora,多板綱,Neoloricata,新石鱉目,Chitonidae,石鱉科,Acanthopleura spinosa ,海膽石鱉 
429684,Animalia,Mollusca,軟體動物門,Polyplacophora,多板綱,Neoloricata,新石鱉目,Chitonidae,石鱉科,Acanthopleura tenuispinosa ,細棘石鱉 
405242,Animalia,Mollusca,軟體動物門,Polyplacophora,多板綱,Neoloricata,新石鱉目,Chitonidae,石鱉科,Acanthopleura woodwardi ,花紋棘石鱉 
310124,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Amphipoda,端足目,Scinidae,錐戎科,Acanthoscina acanthodes ,荊刺錐戎 
403200,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Stomatopoda,口足目,Nannosquillidae,矮蝦蛄科,Acanthosquilla dreijardi ,傑氏刺蝦蛄 
403201,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Stomatopoda,口足目,Nannosquillidae,矮蝦蛄科,Acanthosquilla manningi ,曼寧刺蝦蛄 
403202,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Stomatopoda,口足目,Nannosquillidae,矮蝦蛄科,Acanthosquilla multifasciata ,複條刺蝦蛄 
381260,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus bariene ,肩斑刺尾鯛.. 
381261,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus blochii ,布氏刺尾鯛.. 
381262,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus dussumieri ,杜氏刺尾鯛.. 
381263,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus guttatus ,斑點刺尾鯛.. 
381264,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus japonicus ,日本刺尾鯛.. 
381265,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus leucopareius ,白斑刺尾鯛.. 
381266,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus lineatus ,線紋刺尾鯛.. 
381267,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus maculiceps ,頭斑刺尾鯛.. 
381268,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus mata ,後刺尾鯛.. 
381269,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus nigricans ,白面刺尾鯛.. 
381270,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus nigricauda ,黑尾刺尾鯛.. 
381271,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus nigrofuscus ,褐斑刺尾鯛.. 
383237,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus nubilus ,密線刺尾鯛.. 
381272,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus olivaceus ,一字刺尾鯛.. 
381273,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus pyroferus ,火紅刺尾鯛.. 
381274,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus thompsoni ,黃尾刺尾鯛.. 
381275,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus triostegus ,綠刺尾鯛.. 
381276,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Acanthuridae,刺尾鯛科,Acanthurus xanthopterus ,黃鰭刺尾鯛.. 
404737,Animalia,Mollusca,軟體動物門,Bivalvia,雙殼綱,Arcoida,魁蛤目,Arcidae,魁蛤科,Acar congenita , 
404729,Animalia,Mollusca,軟體動物門,Bivalvia,雙殼綱,Arcoida,魁蛤目,Arcidae,魁蛤科,Acar dubia , 
314094,Animalia,Mollusca,軟體動物門,Bivalvia,雙殼綱,Arcoida,魁蛤目,Arcidae,魁蛤科,Acar plicatum ,紋疊魁蛤 
404730,Animalia,Mollusca,軟體動物門,Bivalvia,雙殼綱,Arcoida,魁蛤目,Arcidae,魁蛤科,Acar reticulata , 
310144,Animalia,Arthropoda,節肢動物門,Maxillopoda,顎足綱,Calanoida,哲水蚤目,Acartiidae,紡錘水蚤科,Acartia (Acanthacartia) bifilosa ,雙毛紡錘水蚤 
310153,Animalia,Arthropoda,節肢動物門,Maxillopoda,顎足綱,Calanoida,哲水蚤目,Acartiidae,紡錘水蚤科,Acartia (Acanthacartia) fossae ,溝紡錘水蚤 
310145,Animalia,Arthropoda,節肢動物門,Maxillopoda,顎足綱,Calanoida,哲水蚤目,Acartiidae,紡錘水蚤科,Acartia (Acartiura) longiremis ,長紡錘水蚤 
310146,Animalia,Arthropoda,節肢動物門,Maxillopoda,顎足綱,Calanoida,哲水蚤目,Acartiidae,紡錘水蚤科,Acartia (Acartiura) omori ,大島氏紡錘水蚤 
310147,Animalia,Arthropoda,節肢動物門,Maxillopoda,顎足綱,Calanoida,哲水蚤目,Acartiidae,紡錘水蚤科,Acartia (Odontacartia) erythraea ,紅紡錘水蚤 
310148,Animalia,Arthropoda,節肢動物門,Maxillopoda,顎足綱,Calanoida,哲水蚤目,Acartiidae,紡錘水蚤科,Acartia (Odontacartia) pacifica ,太平紡錘水蚤 
310149,Animalia,Arthropoda,節肢動物門,Maxillopoda,顎足綱,Calanoida,哲水蚤目,Acartiidae,紡錘水蚤科,Acartia (Odontacartia) spinicauda ,刺尾紡錘水蚤 
310156,Animalia,Arthropoda,節肢動物門,Maxillopoda,顎足綱,Calanoida,哲水蚤目,Acartiidae,紡錘水蚤科,Acartiella sinensis ,中華異水蚤 
395506,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Gobiidae,鰕虎科,Acentrogobius audax , 
395381,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Gobiidae,鰕虎科,Acentrogobius ocyurus ,圓頭細棘鰕虎.. 
381698,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Gobiidae,鰕虎科,Acentrogobius viganensis ,頭紋細棘鰕虎.. 
381699,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Gobiidae,鰕虎科,Acentrogobius viridipunctatus ,青斑細棘鰕虎.. 
395447,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Gasterosteiformes,刺魚目,Syngnathidae,海龍科,Acentronura breviperula ,短身細尾海龍.. 
313387,Animalia,Mollusca,軟體動物門,Bivalvia,雙殼綱,Pterioida,鶯蛤目,Limidae,狐蛤科,Acesta marissinica ,大黃狐蛤 
313388,Animalia,Mollusca,軟體動物門,Bivalvia,雙殼綱,Pterioida,鶯蛤目,Limidae,狐蛤科,Acesta rathbuni ,黃滑狐蛤 
311850,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Sergestidae,櫻蝦科,Acetes intermedius ,間型毛蝦 
311851,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Sergestidae,櫻蝦科,Acetes japonicus ,日本毛蝦 
311852,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Sergestidae,櫻蝦科,Acetes vulgaris ,普通毛蝦 
432989,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Inachidae,"",Achaeus lacertosus , 
311234,Animalia,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Inachidae,"",Achaeus pugnax ,好鬥英雄蟹 
406503,Animalia,Arthropoda,節肢動物門,Pycnogonida,海蜘蛛綱,Pantapoda,悉腳目,Ammotheidae,沙灘海蜘蛛科,Achelia spatula , 
421989,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes amoena ,東方曲殼藻 
120392,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes angustata , 
120393,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes bengalensis ,孟加拉曲殼藻 
120394,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes biasolettiana ,雙面曲殼藻 
120395,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes brevipes , 
120396,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes brevipes angustata , 
120397,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes brevipes brevipes , 
120398,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes brevipes intermedia , 
120399,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes brevipes leudugeri , 
120400,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes brevipes parvula , 
120401,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes citronella ,檸檬曲殼藻 
120402,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes coarctata , 
120403,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes convergens , 
120405,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes crenulata ,波緣曲殼藻 
120406,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes cronulata , 
120408,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes delicatula ,優美曲殼藻 
120409,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes exigua ,微小曲殼藻 
120410,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes exilis , 
120413,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes hungarica , 
120414,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes inflata ,膨脹曲殼藻 
120415,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes inflata elata , 
120416,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes javanica , 
120417,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes javanica tenuistauros , 
120418,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes lanceolata , 
120419,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes linearis , 
120420,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes longipes , 
120421,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes microcephala ,微形曲殼藻 
120422,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes minutissima ,極小曲殼藻 
120423,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes minutissima cryptocephala , 
120424,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes minutissima macrocephala , 
120425,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes montana , 
120426,Chromista,Bacillariophyta,矽藻門,Bacillariophyceae,矽藻綱,Achnanthales,曲殼藻目,Achnanthaceae,曲殼藻科,Achnanthes nollii , 
